sender_account,amount,sender_country,description,id,timestamp,currency,receiver_account,receiver_country
SE8902OJZV87378441905395,25710.68,Sweden,Tax refund,2667,2025-04-13 08:57:00,SEK,SE8902KXMK45343849770312,Sweden
SE8902OELG14968309944058,5844.15,Sweden,Subscription fee,2668,2025-02-27 16:10:00,SEK,SE8902JXJJ56306612147768,Sweden
SE8902YHDH95624192716829,11379.20,Sweden,Consulting fee,2669,2025-04-02 06:54:00,SEK,SE8902OZOM23207181936410,Sweden
SE8902EVCJ18582465780769,4303.94,Sweden,Loan repayment,2670,2025-04-28 17:25:00,SEK,SE8902EMIT82352727650511,Sweden
SE8902NFJG83208273691327,2027.78,Sweden,Subscription fee,2671,2025-03-13 23:50:00,SEK,SE8902ZAWM87891339334132,Sweden
SE8902LSEC82086405777991,25095.13,Sweden,Utility bill,2672,2025-02-24 15:29:00,SEK,SE8902WQME16820619653293,Sweden
SE8902UTYY22254486734176,21343.37,Sweden,Unknown,2673,2025-03-24 12:01:00,SEK,SE8902NBJB19095650975525,Sweden
SE8902HFSR53083572903940,1632.44,Sweden,Unknown,2674,2025-02-27 20:58:00,SEK,SE8902PFYI37989903515742,Sweden
SE8902RBPQ42858370864616,32733.65,Sweden,Unknown,2675,2025-05-16 02:40:00,SEK,SE8902MQZJ06643246897705,Sweden
SE8902LSEC82086405777991,38484.63,Sweden,Insurance payout,2676,2025-05-16 18:40:00,SEK,SE8902GUKI33865782482701,Sweden
SE8902UITH42469834496346,18479.33,Sweden,Consulting fee,2677,2025-03-21 12:35:00,SEK,SE8902JWXW28958053475452,Sweden
SE8902XEKA11659742485329,34775.37,Sweden,Mobile recharge,2678,2025-04-16 15:34:00,SEK,SE8902OQZB62959452894569,Sweden
SE8902CTOV92367944039255,7476.68,Sweden,Utility bill,2679,2025-02-20 09:52:00,SEK,SE8902YCMH62501138405727,Sweden
SE8902EJAI99151957237924,28219.33,Sweden,Reimbursement for travel,2680,2025-02-19 15:06:00,SEK,SE8902BUFN52320844378385,Sweden
SE8902NCHQ05383241398951,8398.68,Sweden,Online purchase,2681,2025-04-10 21:47:00,SEK,SE8902YEDJ01205803951858,Sweden
SE8902LIKB41550652178852,8081.82,Sweden,Online purchase,2682,2025-05-17 21:33:00,SEK,SE8902UHPN71937885399066,Sweden
SE8902TCCK48879115025867,23989.50,Sweden,Gift to family member,2683,2025-04-03 10:44:00,SEK,SE8902YHDH55973704252760,Sweden
SE8902VUUX56420531096812,18783.46,Sweden,Salary payment,2684,2025-03-06 03:58:00,SEK,SE8902ERJA13877835143324,Sweden
SE8902MURT68729362533248,27634.81,Sweden,Insurance payout,2685,2025-10-07 20:15:00,SEK,SE8902MCFO49095808464569,Sweden
SE8902AZSP13287899419402,25724.37,Sweden,Tax refund,2686,2025-10-26 00:36:00,SEK,SE8902QDDZ01493266009705,Sweden
SE8902CDUU61660929189479,11172.05,Sweden,Reimbursement for travel,2687,2025-01-14 23:04:00,SEK,SE8902ZMRY06748088512775,Sweden
SE8902HADZ94831371615319,21789.04,Sweden,Insurance payout,2688,2025-01-03 02:12:00,SEK,SE8902TQXV74190163701650,Sweden
SE8902XIPF48454762305912,29078.96,Sweden,Payment for invoice #1053,2689,2025-01-04 14:19:00,SEK,SE8902DGRO18476288845448,Sweden
SE8902PJBO20718804604298,31640.20,Sweden,Payment for invoice #9864,2690,2025-01-22 23:37:00,SEK,SE8902YBWC04395871663306,Sweden
SE8902KASG36290465086408,30925.07,Sweden,Consulting fee,2691,2025-03-05 13:07:00,SEK,SE8902YWQH50779746486712,Sweden
SE8902FKXG94756014478535,25426.48,Sweden,Payment for invoice #4182,2692,2025-03-19 13:05:00,SEK,SE8902XJXO24323243710044,Sweden
SE8902BWOT03489901672599,6936.46,Unknown,Freelance project payment,2693,2025-04-28 10:02:00,SEK,SE8902FHYM56802980847454,Sweden
SE8902GDTV65148682209789,14604.66,Sweden,Freelance project payment,2694,2025-04-29 00:23:00,SEK,SE8902PFUA65955298845159,Sweden
SE8902ZQQX91042131747326,28331.70,Sweden,Rent transfer,2695,2025-04-29 11:51:00,SEK,SE8902RIDV47368265699473,Sweden
SE8902IAAP17064707009052,45489.65,Sweden,Salary payment,2696,2025-04-09 20:06:00,SEK,SE8902EJVD58777899114942,Sweden
SE8902HWHC81157429988113,29178.46,Sweden,Reimbursement for travel,2697,2025-01-27 03:34:00,SEK,SE8902YMWM67923221263529,Sweden
SE8902ONKL85026172925302,41428.37,Sweden,Reimbursement for travel,2698,2025-04-09 05:25:00,SEK,SE8902ABOS54302823852209,Sweden
SE8902IWUZ21139031383602,6393.43,Sweden,Tax refund,2699,2025-04-18 05:34:00,SEK,SE8902RENF20626970972224,Sweden
SE8902GXGJ09737434359792,44273.94,Sweden,Gift to family member,2700,2025-04-28 06:48:00,SEK,SE8902KIPZ83378012088513,Sweden
SE8902ORRS48118816092087,19631.02,Sweden,Rent transfer,2701,2025-03-08 01:42:00,SEK,SE8902JFLG01724285840236,Sweden
SE8902STMW83870980133580,13339.03,Sweden,Loan repayment,2702,2025-03-16 03:52:00,SEK,SE8902WSLA24954889786348,Sweden
SE8902XNSP62301861969649,23113.23,Sweden,Utility bill,2703,2025-04-09 12:04:00,SEK,SE8902CRCW34066239004922,Sweden
SE8902RPRH48981618994827,44643.12,Sweden,Rent transfer,2704,2025-03-23 13:16:00,SEK,SE8902ROFI55976431488069,Sweden
SE8902TRVE47135720140849,40257.07,Sweden,Loan repayment,2705,2025-03-13 05:27:00,SEK,SE8902LKXQ69920608322446,Sweden
SE8902FUXQ13611890616632,26717.81,Sweden,Unknown,2706,2025-02-22 02:02:00,SEK,SE8902HNSY33169866302829,Sweden
SE8902HMCZ09136061205337,8255.80,Sweden,Utility bill,2707,2025-03-31 18:36:00,SEK,SE8902FPGB53740832393246,Sweden
SE8902ADKD16230449646773,38810.59,Sweden,Online purchase,2708,2025-03-23 00:25:00,SEK,SE8902FCSV26977507325534,Sweden
SE8902AIOW62956716316259,29476.89,Sweden,Utility bill,2709,2025-01-11 18:31:00,SEK,SE8902AXQM18280403499014,Sweden
SE8902TURO07496760761316,13897.37,Sweden,Consulting fee,2710,2025-04-27 01:09:00,SEK,SE8902KLVA35234334264887,Sweden
SE8902YFAI41572077231677,45759.16,Sweden,Rent transfer,2711,2025-01-20 19:04:00,SEK,SE8902OUYV90192199566077,Sweden
SE8902RXQC04091454093931,24479.24,Sweden,Rent transfer,2712,2022-10-21 06:27:00,SEK,SE8902RNLY55461931214075,Sweden
SE8902KNBO14478747094323,17294.03,Sweden,Gift to family member,2713,2025-03-11 04:52:00,SEK,SE8902WCIT71011280885223,Sweden
SE8902QLYH24628869288269,6717.38,Sweden,Payment for invoice #9003,2714,2025-02-07 13:08:00,SEK,SE8902OYYC26878073615803,Sweden
SE8902DAYC14364335693782,26390.01,Sweden,Gift to family member,2715,2025-01-17 17:09:00,SEK,SE8902LYFI88654386046994,Sweden
SE8902IQGU69949540367787,45968.03,Sweden,Salary payment,2716,2025-02-10 04:25:00,SEK,SE8902VCGO21843909614852,Sweden
SE8902TSIH97788635751412,38937.54,Sweden,Consulting fee,2717,2025-01-03 02:19:00,SEK,SE8902PVDU32397262267370,Sweden
SE8902HUPY67929894959123,26772.10,Sweden,Subscription fee,2718,2025-04-25 17:46:00,SEK,SE8902ZTYB33411513006359,Sweden
SE8902GKEP38370221536247,35368.72,Sweden,Subscription fee,2719,2025-03-25 15:40:00,SEK,SE8902BBDN08764843226603,Sweden
SE8902WJRN19883673497555,3780.08,Sweden,Consulting fee,2720,2025-02-18 03:14:00,SEK,SE8902XUOQ37054183061149,Sweden
SE8902JXNJ08943900596647,1021.34,Sweden,Subscription fee,2721,2025-04-05 18:04:00,SEK,SE8902GXKS66714923613080,Sweden
SE8902NQRV40490469744981,10845.15,Sweden,Subscription fee,2722,2025-01-16 08:31:00,SEK,SE8902PLBL16144667744762,Sweden
SE8902LTEB55772338700469,32214.03,Sweden,Mobile recharge,2723,2025-01-29 23:52:00,SEK,SE8902YUBQ50433561046806,Sweden
SE8902TEZZ10595111121627,22016.44,Sweden,Consulting fee,2724,2025-04-16 18:33:00,SEK,SE8902UHPN71937885399066,Sweden
SE8902SJVO55654185313291,226.31,Sweden,Consulting fee,2725,2025-02-22 05:44:00,SEK,SE8902PQAY31420284375015,Sweden
SE8902FCJT75375914520219,303.61,Sweden,Online purchase,2726,2025-01-15 01:00:00,SEK,SE8902NEKM17238713453074,Sweden
SE8902DGBN51946839388357,46995.30,Sweden,Salary payment,2727,2025-02-12 11:15:00,SEK,SE8902TNEQ21759041931830,Sweden
SE8902XYVB77684435420465,20366.67,Sweden,Subscription fee,2728,2025-04-17 23:10:00,SEK,SE8902UHPN71937885399066,Sweden
SE8902ZXBS27847759587560,46164.51,Sweden,Unknown,2729,2025-02-17 21:32:00,SEK,SE8902PYVE63223607468293,Sweden
SE8902EBQG46394645816502,32640.21,Sweden,Insurance payout,2730,2023-09-09 23:49:00,SEK,SE8902NVBN39901843446898,Sweden
SE8902IXLN09147641003463,19766.57,Sweden,Unknown,2731,2025-03-23 04:46:00,SEK,SE8902HHVE14882891293350,Sweden
SE8902YXOS87838017500335,41921.79,Sweden,Consulting fee,2732,2025-01-12 10:13:00,SEK,SE8902QVRD43136737091818,Sweden
SE8902RUPP97970833512919,37787.78,Sweden,Tax refund,2733,2025-05-08 14:46:00,SEK,SE8902TEZZ10595111121627,Sweden
SE8902CGGR69488718084568,1415.92,Sweden,Reimbursement for travel,2734,2025-03-29 18:26:00,SEK,SE8902YARE38911515845364,Sweden
SE8902XZSQ43469647161652,26964.28,Sweden,Consulting fee,2735,2025-04-25 05:21:00,SEK,SE8902UNIQ60986055961346,Sweden
SE8902PYVE63223607468293,27195.48,Sweden,Mobile recharge,2736,2025-02-01 09:01:00,SEK,SE8902QILJ09667839424264,Sweden
SE8902GBGP44172108348620,1611.10,Sweden,Insurance payout,2737,2025-03-18 00:12:00,SEK,SE8902TTRQ67764510281897,Sweden
SE8902YXOS87838017500335,6430.59,Sweden,Tax refund,2738,2025-03-05 20:46:00,SEK,SE8902KLES25420753966546,Sweden
SE8902TTCV22659277900658,44592.69,Sweden,Salary payment,2739,2025-04-11 19:23:00,SEK,SE8902LNQG72751750679403,Sweden
SE8902VEIB72029945509184,31276.57,Sweden,Mobile recharge,2740,2025-01-07 12:59:00,SEK,SE8902YRPI91283893221753,Sweden
SE8902OKBP25586865512985,46185.44,Sweden,Loan repayment,2741,2025-04-21 11:28:00,SEK,SE8902AHVW14609154839055,Sweden
SE8902HLML76292022524770,20091.59,Sweden,Unknown,2742,2025-02-25 21:10:00,SEK,SE8902BXQI23685027971551,Sweden
SE8902UITH42469834496346,8435.27,Sweden,Subscription fee,2743,2025-04-14 06:39:00,SEK,SE8902MISM30510735597086,Sweden
SE8902SLBZ46706062219762,44025.51,Sweden,Online purchase,2744,2025-02-26 14:19:00,SEK,SE8902KDEZ48747876485385,Sweden
SE8902NQVT00867426002134,11528.54,Sweden,Subscription fee,2745,2025-02-17 16:20:00,SEK,SE8902OYBW39299291170957,Sweden
SE8902UJGR36411837401781,21112.70,Sweden,Mobile recharge,2746,2025-04-17 16:45:00,SEK,SE8902WFUC02168045258799,Sweden
SE8902OGIR23428207822800,49514.39,Sweden,Consulting fee,2747,2023-10-09 05:30:00,SEK,SE8902SVNA09488395571575,Sweden
SE8902DRNW01025820075953,19327.56,Sweden,Salary payment,2748,2025-05-17 02:21:00,SEK,SE8902LWGY12400441776877,Sweden
SE8902NRAS31362495279847,11922.58,Sweden,Mobile recharge,2749,2025-02-26 23:42:00,SEK,SE8902ZDMU73833226690524,Sweden
SE8902AAOA59642017060227,36099.32,Sweden,Salary payment,2750,2025-01-20 21:04:00,SEK,SE8902SPLA84551710891296,Sweden
SE8902RTPP26534696624492,29176.39,Sweden,Freelance project payment,2751,2025-02-02 11:07:00,SEK,SE8902QYWM08226326615443,Sweden
SE8902VWXK42191765114871,12184.70,Sweden,Consulting fee,2752,2025-02-11 06:29:00,SEK,SE8902KWSP63038857977275,Sweden
SE8902JTME09227824695264,21644.52,Sweden,Tax refund,2753,2025-02-15 11:34:00,SEK,SE8902NLPV05101680537537,Sweden
SE8902VYBF24172056441453,48988.07,Sweden,Loan repayment,2754,2025-02-02 19:43:00,SEK,SE8902UAZW13872369602420,Sweden
SE8902VBBU70773188294633,6478.64,Sweden,Unknown,2755,2025-03-17 23:02:00,SEK,SE8902SILE68578227700598,Sweden
SE8902UGUU35326815762231,39065.21,Sweden,Tax refund,2756,2025-01-19 10:06:00,SEK,SE8902MYOF67830605702784,Sweden
SE8902UWHJ79819805055119,21875.04,Sweden,Payment for invoice #9027,2757,2025-02-16 11:07:00,SEK,SE8902DOFI01208990186376,Sweden
SE8902IJBW38904188628765,26781.60,Sweden,Online purchase,2758,2025-01-03 13:19:00,SEK,SE8902TBOJ86049292227405,Sweden
SE8902ZQSR31963404580039,43841.23,Sweden,Consulting fee,2759,2025-04-12 21:09:00,SEK,SE8902WSOG82520529247442,Sweden
SE8902EZER13441070597944,6326.81,Sweden,Insurance payout,2760,2025-02-23 23:09:00,SEK,SE8902KMRD06713970744337,Sweden
SE8902OBIX76276487885565,1877.84,Sweden,Tax refund,2761,2025-05-04 05:25:00,SEK,SE8902EQDP30307774877765,Sweden
SE8902EPQO36893099676290,29088.79,Sweden,Consulting fee,2762,2025-05-07 05:27:00,SEK,SE8902BQOF94784189390061,Sweden
SE8902YKLA01358484410445,13185.50,Sweden,Mobile recharge,2763,2025-05-15 09:24:00,SEK,SE8902AXQM18280403499014,Sweden
SE8902CGGR69488718084568,34906.23,Sweden,Mobile recharge,2764,2025-01-22 11:41:00,SEK,SE8902WYUG92028275995927,Sweden
SE8902UGGW38274485777478,24361.63,Sweden,Rent transfer,2765,2025-04-28 13:27:00,SEK,SE8902TOSX14314674232363,Sweden
SE8902LKRM96767797463197,36316.99,Sweden,Loan repayment,2766,2025-04-18 13:36:00,SEK,SE8902KWJE25618757328979,Sweden
SE8902LUYC21483942556730,22040.96,Sweden,Tax refund,2767,2025-01-19 01:54:00,SEK,SE8902ZFFS54641169742438,Sweden
SE8902KCJU30225323097413,23318.34,Sweden,Insurance payout,2768,2025-04-01 03:36:00,SEK,SE8902EQDP30307774877765,Sweden
SE8902VPUI15502095985231,48414.62,Sweden,Utility bill,2770,2025-01-02 14:38:00,SEK,SE8902AAOA59642017060227,Sweden
SE8902ZGLL07430315277968,12094.76,Sweden,Unknown,2771,2025-04-21 05:37:00,SEK,SE8902LJOL22570334014589,Sweden
SE8902MPFF59071266405689,38439.89,Sweden,Consulting fee,2772,2025-02-02 09:10:00,SEK,SE8902OSQP10294973862487,Sweden
SE8902GOTA27808705650145,21796.41,Sweden,Payment for invoice #5543,2773,2025-02-03 06:16:00,SEK,SE8902QQEM64469622591152,Sweden
SE8902SYOK34574595890962,46204.00,Sweden,Consulting fee,2774,2025-02-08 00:18:00,SEK,SE8902FADN38705986955694,Sweden
SE8902WYLP16417283310059,23360.66,Sweden,Unknown,2775,2025-05-04 01:38:00,SEK,SE8902JXNJ08943900596647,Sweden
SE8902GDKU45032945438327,440.20,Sweden,Salary payment,2776,2025-01-30 11:25:00,SEK,SE8902QCUD22504040792723,Sweden
SE8902OKVE09579666832306,15470.59,Sweden,Online purchase,2777,2025-01-28 15:58:00,SEK,SE8902EDDF98370611345966,Sweden
SE8902TGSS63115928762234,21670.50,Sweden,Unknown,2778,2025-03-25 10:17:00,SEK,SE8902XVPE12442001326703,Sweden
SE8902VEIB72029945509184,33355.83,Sweden,Utility bill,2779,2025-05-18 21:07:00,SEK,SE8902AIOW62956716316259,Sweden
SE8902ROFI55976431488069,46834.63,Sweden,Salary payment,2780,2025-01-16 11:04:00,SEK,SE8902BYDD28842601202864,Sweden
SE8902AZMF62874749728667,3117.00,Sweden,Mobile recharge,2781,2025-02-03 09:56:00,SEK,SE8902YRJE25577068372391,Sweden
SE8902PSRJ65756431691707,31728.98,Sweden,Insurance payout,2782,2025-01-22 15:57:00,SEK,SE8902RMLX84077931088026,Sweden
SE8902MDNR23654048962365,16432.19,Sweden,Subscription fee,2783,2025-03-30 14:47:00,SEK,SE8902BRZE40142159892187,Sweden
SE8902POYE56306553396402,46513.16,Sweden,Insurance payout,2784,2025-02-24 14:54:00,SEK,SE8902GJPJ21866669764448,Sweden
SE8902FSHA42297476809642,49088.81,Sweden,Insurance payout,2785,2025-02-14 03:51:00,SEK,SE8902SVTA51705365680131,Sweden
SE8902SRDG63581614639448,25461.80,Sweden,Rent transfer,2786,2025-05-04 21:29:00,SEK,SE8902ZFCJ85266822978818,Sweden
SE8902QBFU77974903239810,47478.18,Sweden,Rent transfer,2787,2025-05-30 02:36:00,SEK,SE8902XFGN05965642065136,Sweden
SE8902REOE84824920257605,18440.97,Sweden,Reimbursement for travel,2788,2025-03-14 09:27:00,SEK,SE8902FUXQ13611890616632,Sweden
SE8902CUNN22125220865735,20460.03,Sweden,Payment for invoice #9054,2789,2025-04-19 13:08:00,SEK,SE8902UTYY22254486734176,Sweden
SE8902NNNO44225102810397,22003.90,Sweden,Loan repayment,2790,2025-02-02 16:14:00,SEK,SE8902VZIJ18435178550619,Sweden
SE8902RXQC04091454093931,44657.15,Sweden,Mobile recharge,2791,2025-01-16 00:27:00,SEK,SE8902RCRK00671714230376,Sweden
SE8902PSRJ65756431691707,3609.60,Sweden,Utility bill,2792,2025-01-09 23:47:00,SEK,SE8902PVNM34258841032637,Sweden
SE8902KFFN35109779680770,3136.84,Unknown,Rent transfer,2793,2025-01-12 19:47:00,SEK,SE8902OWWY66208651137307,Sweden
SE8902UZYG74951512780315,1114.41,Sweden,Freelance project payment,2794,2025-02-02 02:49:00,SEK,SE8902ORAT65143572227414,Sweden
SE8902NIFB25528008124700,25200.20,Sweden,Subscription fee,2795,2025-02-07 09:35:00,SEK,SE8902BUUB70684057188314,Sweden
SE8902NNNR28386574821422,22892.96,Sweden,Utility bill,2796,2025-04-28 09:56:00,SEK,SE8902WPAU97779463181066,Sweden
SE8902QJYU26909657286044,48015.01,Sweden,Unknown,2797,2025-03-09 20:28:00,SEK,SE8902MINV17334030266764,Sweden
SE8902SICI51731283266081,6614.12,Sweden,Loan repayment,2798,2025-02-28 17:06:00,SEK,SE8902HFSR53083572903940,Sweden
SE8902WSLA24954889786348,20911.73,Sweden,Rent transfer,2799,2025-05-17 12:50:00,SEK,SE8902CHPG90425118808478,Sweden
SE8902GZAO49226888899471,1386.69,Sweden,Subscription fee,2800,2025-05-15 08:33:00,SEK,SE8902OOLM49343686376830,Sweden
SE8902XFGN05965642065136,14360.28,Sweden,Consulting fee,2801,2025-04-12 16:32:00,SEK,SE8902WWPN36583068524999,Sweden
SE8902LLGR94243337164385,20825.65,Sweden,Consulting fee,2802,2025-01-24 20:22:00,SEK,SE8902QCNP19721394374879,Sweden
SE8902ERJA13877835143324,11702.63,Sweden,Reimbursement for travel,2803,2025-02-11 20:27:00,SEK,SE8902EYAI40413449404955,Sweden
SE8902UXKG57479907330381,14369.59,Sweden,Consulting fee,2804,2025-05-01 12:55:00,SEK,SE8902AORR62231578413137,Sweden
SE8902BCJH45677202414984,19900.34,Sweden,Loan repayment,2805,2025-04-26 07:24:00,SEK,SE8902SILE68578227700598,Sweden
SE8902FBRS06307972224493,20238.39,Sweden,Freelance project payment,2806,2025-02-02 21:54:00,SEK,SE8902UGGW38274485777478,Sweden
SE8902THMG75207589410634,39159.11,Sweden,Rent transfer,2807,2025-04-02 20:51:00,SEK,SE8902EOQK87745075861922,Sweden
SE8902SABF96781999798332,22920.38,Sweden,Subscription fee,2808,2025-02-10 09:04:00,SEK,SE8902BCGB09402639721004,Sweden
SE8902YIXR29588609244770,44645.48,Sweden,Insurance payout,2809,2025-04-21 06:03:00,SEK,SE8902PUFG51102457949170,Sweden
SE8902RQNM94686024135916,13349.33,Sweden,Unknown,2810,2025-01-23 18:48:00,SEK,SE8902MOYL96215082468431,Sweden
SE8902WOTL92806947118912,6488.85,Sweden,Loan repayment,2811,2025-01-27 14:59:00,SEK,SE8902LEVI44801863486814,Sweden
SE8902VLZY43895735167710,37828.68,Sweden,Subscription fee,2812,2022-11-28 04:23:00,SEK,SE8902XPHQ15953762308017,Sweden
SE8902VUUX56420531096812,24076.65,Sweden,Utility bill,2813,2025-02-26 11:15:00,SEK,SE8902OFTJ79383582820961,Sweden
SE8902RDFD79748993078910,39121.71,Sweden,Unknown,2814,2025-04-02 10:45:00,SEK,SE8902PSRJ65756431691707,Sweden
SE8902EFNV74784664776562,45426.57,Sweden,Salary payment,2815,2025-05-08 15:58:00,SEK,SE8902OWWY66208651137307,Sweden
SE8902SILE68578227700598,2983.53,Sweden,Gift to family member,2816,2025-04-01 19:50:00,SEK,SE8902HFSR53083572903940,Sweden
SE8902YHDH95624192716829,13765.36,Sweden,Freelance project payment,2817,2025-03-23 22:15:00,SEK,SE8902PGNT42361129672323,Sweden
SE8902PKJC56529381306922,30658.78,Sweden,Utility bill,2818,2025-01-22 18:57:00,SEK,SE8902KNYL13525753615170,Sweden
SE8902XCHA19919213751955,33741.14,Sweden,Consulting fee,2819,2025-01-29 18:50:00,SEK,SE8902RTPP26534696624492,Sweden
SE8902ZDZF35824709915348,20524.61,Sweden,Payment for invoice #7297,2820,2025-02-24 07:47:00,SEK,SE8902JTWL04765331104215,Sweden
SE8902HEBA48610510102589,36371.70,Sweden,Insurance payout,2821,2025-03-09 01:24:00,SEK,SE8902UXKG57479907330381,Sweden
SE8902FITK67729451632648,837.59,Sweden,Tax refund,2822,2025-02-13 02:33:00,SEK,SE8902DOFI01208990186376,Sweden
SE8902YIAD46040982190137,13828.82,Sweden,Utility bill,2823,2025-01-25 07:29:00,SEK,SE8902QCNP19721394374879,Sweden
SE8902EBQG46394645816502,26551.86,Sweden,Online purchase,2824,2025-03-08 19:21:00,SEK,SE8902FMGF16921362391617,Sweden
SE8902YWPH88733310983578,27081.90,Sweden,Rent transfer,2825,2025-02-18 22:10:00,SEK,SE8902HEBA48610510102589,Sweden
SE8902LFPB25372838213647,49674.91,Sweden,Mobile recharge,2826,2025-03-05 22:34:00,SEK,SE8902FKMU98532754573323,Sweden
SE8902GREW10972860106946,39223.63,Sweden,Salary payment,2827,2025-03-21 20:57:00,SEK,SE8902GXLB05514229654020,Sweden
SE8902YCCU23582343543594,8536.40,Sweden,Salary payment,2828,2025-03-08 17:19:00,SEK,SE8902MPWG51569045484865,Sweden
SE8902OULQ88924571915281,22037.73,Sweden,Unknown,2829,2025-01-22 09:01:00,SEK,SE8902VPUM81969837191902,Sweden
SE8902CUNN22125220865735,44844.84,Sweden,Tax refund,2830,2025-02-18 22:42:00,SEK,SE8902AZOB63571733972059,Sweden
SE8902JWXW28958053475452,29557.94,Sweden,Consulting fee,2831,2025-03-17 09:36:00,SEK,SE8902QNMM99008031804359,Sweden
SE8902PTAF77843993668616,21025.17,Sweden,Gift to family member,2832,2025-02-24 23:49:00,SEK,SE8902QSEX48124440213093,Sweden
SE8902FNVL25969348892346,29850.10,Sweden,Salary payment,2833,2025-02-24 15:45:00,SEK,SE8902TKZA24932488770695,Sweden
SE8902ZUBS27912610124575,38454.71,Sweden,Gift to family member,2834,2025-05-11 00:05:00,SEK,SE8902VEMX25234923276716,Sweden
SE8902XZSQ43469647161652,20945.79,Sweden,Consulting fee,2835,2025-05-01 10:33:00,SEK,SE8902PNRT14858483416763,Sweden
SE8902CRCW34066239004922,34815.64,Sweden,Reimbursement for travel,2836,2025-03-30 23:43:00,SEK,SE8902RQLR53927445231063,Sweden
SE8902XWUV40935991476872,16255.36,Sweden,Tax refund,2837,2025-05-09 23:13:00,SEK,SE8902EBQG46394645816502,Sweden
SE8902ZIPR73751541971020,20968.89,Sweden,Salary payment,2838,2025-03-04 23:48:00,SEK,SE8902KFFK50136015318581,Sweden
SE8902DOFI01208990186376,9951.35,Sweden,Consulting fee,2839,2025-02-09 10:24:00,SEK,SE8902VUUX56420531096812,Sweden
SE8902TVVW07944483518187,28597.06,Sweden,Subscription fee,2840,2025-03-06 16:22:00,SEK,SE8902MISM30510735597086,Sweden
SE8902FWBT85916441228504,5233.90,Sweden,Unknown,2841,2025-01-23 14:17:00,SEK,SE8902QYSY81014676327000,Sweden
SE8902IRET80983872349375,26984.58,Sweden,Consulting fee,2842,2025-01-31 18:51:00,SEK,SE8902WDJE85359881297343,Sweden
SE8902HHSO58247661775142,34747.47,Sweden,Freelance project payment,2843,2025-03-23 06:50:00,SEK,SE8902DBZP90399205881070,Sweden
SE8902BTSC01483794930785,16720.58,Sweden,Salary payment,2844,2025-04-24 11:19:00,SEK,SE8902DOFI01208990186376,Sweden
SE8902NILS51480673047457,41764.13,Sweden,Subscription fee,2845,2025-01-12 00:01:00,SEK,SE8902YWPH88733310983578,Sweden
SE8902ZCTK81497780781136,44414.11,Sweden,Subscription fee,2846,2025-01-08 09:16:00,SEK,SE8902FBTR73223116722714,Sweden
SE8902PVDU32397262267370,4597.79,Sweden,Mobile recharge,2847,2025-01-04 03:27:00,SEK,SE8902ZTNG40351896769345,Sweden
SE8902ZECH07329184737257,14457.36,Sweden,Tax refund,2848,2025-01-03 03:11:00,SEK,SE8902HADZ94831371615319,Sweden
SE8902JFQL02168511886094,10773.06,Sweden,Gift to family member,2849,2025-03-01 07:09:00,SEK,SE8902AORR62231578413137,Sweden
SE8902WWYX14350160073945,32083.12,Sweden,Gift to family member,2850,2025-01-31 14:45:00,SEK,SE8902PFCZ88971783919966,Sweden
SE8902LNMM65005427787530,28987.40,Sweden,Reimbursement for travel,2851,2025-05-02 20:55:00,SEK,SE8902FKMU98532754573323,Sweden
SE8902TXWD68698852887733,38783.31,Sweden,Unknown,2852,2025-03-23 06:50:00,SEK,SE8902RFAD93127690350624,Sweden
SE8902QYSY81014676327000,12774.55,Sweden,Rent transfer,2853,2025-01-22 06:52:00,SEK,SE8902EPZK82020056741347,Sweden
SE8902IAZC69283036911026,40938.01,Sweden,Salary payment,2854,2025-03-09 13:21:00,SEK,SE8902ELOW76907000148619,Sweden
SE8902SVEX40095531093926,40217.80,Sweden,Online purchase,2855,2025-01-30 08:36:00,SEK,SE8902JPEZ29549435970218,Sweden
SE8902TVVW07944483518187,32946.31,Sweden,Gift to family member,2856,2025-04-24 03:53:00,SEK,SE8902IWUZ21139031383602,Sweden
SE8902AJSV94182461717656,42228.87,Sweden,Salary payment,2857,2025-03-27 05:04:00,SEK,SE8902BRZE40142159892187,Sweden
SE8902OZBM53448690509013,9294.78,Sweden,Gift to family member,2858,2025-03-25 01:20:00,SEK,SE8902KWJE25618757328979,Sweden
SE8902WSFB21589079568833,47285.46,Sweden,Consulting fee,2859,2025-04-16 12:17:00,SEK,SE8902XARR24637715791113,Sweden
SE8902IPMR06918676283049,40272.21,Sweden,Online purchase,2860,2025-04-26 04:58:00,SEK,SE8902KWAF90270853352878,Sweden
SE8902WJRN19883673497555,3384.68,Sweden,Mobile recharge,2861,2025-02-12 07:40:00,SEK,SE8902POUN96279557917869,Sweden
SE8902RYJW27814189025495,43651.56,Sweden,Utility bill,2862,2025-01-02 12:52:00,SEK,SE8902XCIR72675281902466,Sweden
SE8902EBQG46394645816502,13616.58,Sweden,Subscription fee,2863,2025-01-16 06:55:00,SEK,SE8902EYZV57214534359238,Sweden
SE8902JFLG01724285840236,6060.97,Sweden,Rent transfer,2864,2025-05-04 12:32:00,SEK,SE8902MQQY51782698732487,Sweden
SE8902HEMI79004079416247,27549.68,Sweden,Online purchase,2865,2025-05-13 14:47:00,SEK,SE8902RYFQ25380828380867,Sweden
SE8902BABM26306156053804,28036.28,Sweden,Gift to family member,2866,2025-04-12 07:30:00,SEK,SE8902IJBW38904188628765,Sweden
